ELECON,TrianglePatternWithHA,7,2
GRASIM,TrianglePatternWithHA,4,1
KIRLOSBROS,TrianglePatternWithHA,7,2
JKLAKSHMI,TrianglePatternWithHA,5,4
MARATHON,TrianglePatternWithHA,4,0
SUDARSCHEM,TrianglePatternWithHA,3,1
VISHNU,TrianglePatternWithHA,4,1
RELAXO,TrianglePatternWithHA,2,2
STERTOOLS,TrianglePatternWithHA,6,2
BALAMINES,TrianglePatternWithHA,4,1
CSBBANK,TrianglePatternWithHA,6,3
NUCLEUS,TrianglePatternWithHA,4,1
DLF,TrianglePatternWithHA,6,1
JINDWORLD,TrianglePatternWithHA,7,2
AHLUCONT,TrianglePatternWithHA,5,1
SONATSOFTW,TrianglePatternWithHA,7,1
PRESTIGE,TrianglePatternWithHA,7,2
CYIENT,TrianglePatternWithHA,7,3
GODREJPROP,TrianglePatternWithHA,4,2
KAMDHENU,TrianglePatternWithHA,5,3
STAR,TrianglePatternWithHA,5,1
BDL,TrianglePatternWithHA,5,1
NAUKRI,TrianglePatternWithHA,4,0
TWL,TrianglePatternWithHA,5,2
GLENMARK,TrianglePatternWithHA,9,4
IGL,TrianglePatternWithHA,7,2
ZENTEC,TrianglePatternWithHA,5,1
ICICIPRULI,TrianglePatternWithHA,7,1
JBMA,TrianglePatternWithHA,9,1
NITINSPIN,TrianglePatternWithHA,6,1
VBL,TrianglePatternWithHA,9,1
MUTHOOTFIN,TrianglePatternWithHA,4,2
RKFORGE,TrianglePatternWithHA,10,4
TIIL,TrianglePatternWithHA,6,1
RAMKY,TrianglePatternWithHA,5,3
VRLLOG,TrianglePatternWithHA,4,1
ANGELONE,TrianglePatternWithHA,2,0
VSSL,TrianglePatternWithHA,11,2
ADANITRANS,TrianglePatternWithHA,1,0
INDIAMART,TrianglePatternWithHA,6,3
DALBHARAT,TrianglePatternWithHA,6,1
ROSSARI,TrianglePatternWithHA,2,1
NEOGEN,TrianglePatternWithHA,6,3
