ACC,ACC Ltd,22
AEGISCHEM,Aegis Logistics Ltd,40
AMRUTANJAN,Amrutanjan Health Care Ltd,17547
ANDHRAPAP,Andhra Paper Ltd,166
APOLLOTYRE,Apollo Tyres Ltd,163
ARVIND,Arvind Ltd,9111
ASHOKLEY,Ashok Leyland Ltd,212
ASIANHOTNR,Asian Hotels (North) Ltd,18422
ASIANPAINT,Asian Paints Ltd,236
SKFINDIA,SKF India Ltd,3186
ASTRAZEN,Astrazeneca Pharma India Ltd,5610
ATUL,Atul Ltd,263
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,305
BAJAJELEC,Bajaj Electricals Ltd,15034
FORCEMOT,Force Motors Ltd,11573
BALKRISIND,Balkrishna Industries Ltd,335
BANARISUG,Bannari Amman Sugars Ltd,350
BASF,BASF India Ltd,368
BATAINDIA,Bata India Ltd,371
BATLIBOI,Batliboi Ltd,522004
BAYERCROP,Bayer CropScience Ltd,17927
BERGEPAINT,Berger Paints India Ltd,404
BBL,Bharat Bijlee Ltd,13761
BHARATFORG,Bharat Forge Ltd,422
BHARATGEAR,Bharat Gears Ltd,426
BIMETAL,Bimetal Bearings Ltd,4656
BIRLACORPN,Birla Corporation Ltd,480
BLISSGVS,Bliss GVS Pharma Ltd,19265
BLUESTARCO,Blue Star Ltd,8311
BBTC,Bombay Burmah Trading Corporation Ltd,380
BOMDYEING,Bombay Dyeing &amp; Manufacturing Company Ltd,513
RELINFRA,Reliance Infrastructure Ltd,553
ABBOTINDIA,Abbott India Ltd,17903
BORORENEW,Borosil Renewables Ltd,3149
BRITANNIA,Britannia Industries Ltd,547
CESC,CESC Ltd,628
OAL,Oriental Aromatics Ltd,20374
CAPRIHANS,Caprihans India Ltd,509486
GRAPHITE,Graphite India Ltd,592
CARBORUNIV,Carborundum Universal Ltd,595
CEATLTD,CEAT Ltd,15254
ITDCEM,ITD Cementation India Ltd,5622
CENTENKA,Century Enka Ltd,619
CENTURYTEX,Century Textiles &amp; Industries Ltd,625
EXIDEIND,Exide Industries Ltd,676
CHOWGULSTM,Chowgule Steamships Ltd,501833
CIPLA,Cipla Ltd,694
DICIND,DIC India Ltd,703
COLPAL,Colgate,Palmolive (India) Ltd,15141
CLNINDIA,Clariant Chemicals (India) Ltd,715
TATACOFFEE,Tata Coffee Ltd,724
COROMANDEL,Coromandel International Ltd,739
COSMOFIRST,Cosmo First Ltd,742
CGPOWER,CG Power &amp; Industrial Solutions Ltd,760
DCM,DCM Ltd,811
DALMIASUG,Dalmia Bharat Sugar &amp; Industries Ltd,781
DECCANCE,Deccan Cements Ltd,14838
DEEPAKFERT,Deepak Fertilizers &amp; Petrochemicals Corp Ltd,827
DEEPAKNTR,Deepak Nitrite Ltd,19943
DHARAMSI,Dharamsi Morarji Chemicals Co Ltd,6973
DCW,DCW Ltd,817
EIDPARRY,EID Parry (India) Ltd,916
PGHL,Procter &amp; Gamble Health Ltd,940
EIHOTEL,EIH Ltd,919
EICHERMOT,Eicher Motors Ltd,910
ELECON,Elecon Engineering Company Ltd,13643
ELECTCAST,Electrosteel Castings Ltd,928
ELGIEQUIP,Elgi Equipments Ltd,937
ELPROINTL,Elpro International Ltd,504000
ESCORTS,Escorts Kubota Ltd,958
EPL,EPL Ltd,981
EVERESTIND,Everest Industries Ltd,993
EXCELINDUS,Excel Industries Ltd,11471
FINCABLES,Finolex Cables Ltd,1038
NESTLEIND,Nestle India Ltd,17963
FOODSIN,Foods &amp; Inns Ltd,6673
GKWLIMITED,GKW Ltd,17357
DELTAMAGNT,Delta Manufacturing Ltd,1214
GABRIEL,Gabriel India Ltd,1085
GRWRHITECH,Garware Hi Tech Films Ltd,7982
GARFIBRES,Garware Technical Fibres Ltd,1100
GLAXO,Glaxosmithkline Pharmaceuticals Ltd,1153
GOACARBON,Goa Carbon Ltd,14687
FMGOETZE,Federal,Mogul Goetze (India) Ltd,1190
GOODYEAR,Goodyear India Ltd,1205
KANSAINER,Kansai Nerolac Paints Ltd,1196
GOODRICKE,Goodricke Group Ltd,500166
SAREGAMA,Saregama India Ltd,4892
GESHIP,Great Eastern Shipping Company Ltd,13776
GREAVESCOT,Greaves Cotton Ltd,1235
GRINDWELL,Grindwell Norton Ltd,13560
GOLDENTOBC,Golden Tobacco Ltd,8712
